file_path,violation_type,severity,vendor_alternative,replacement_strategy,complexity_score,dependencies
scripts/mcp-orchestrator.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.94,"npm, npm, npm"
scripts/comprehensive_fix_script.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.54,"node, npm"
scripts/setup_20_mcp_servers.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.16,npm
scripts/comprehensive_system_diagnostic.py,python_utilities,high,click,migrate_to_cli_frameworks,6.98,"sys, typing, socket, psutil, json"
scripts/comprehensive_system_diagnostic.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,7.0,"sys, typing, socket, psutil, json"
scripts/clean_20step_analysis.py,python_utilities,high,click,migrate_to_cli_frameworks,6.3,"sys, typing, json, pathlib, numpy"
scripts/proxy-env.sh,shell_scripts,low,npm scripts,migrate_to_vendor_task_runners,1.14,
scripts/vendor_ml_analysis.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.54,curl
scripts/comprehensive_rule_audit_integration.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,2.36,
scripts/comprehensive-hardcoded-paths-audit.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.42,
scripts/advanced_numerical_methods.py,python_utilities,critical,click,migrate_to_cli_frameworks,7.14,"sys, typing, dataclasses, json, pathlib"
scripts/debug_cursor_shell.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.2,
scripts/enforce-vendor-compliance.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.2,
scripts/manual_fix_instructions.sh.backup,shell_scripts,low,npm scripts,migrate_to_vendor_task_runners,1.8,
scripts/comprehensive-rebuild.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.48,"npm, npm"
scripts/comprehensive-ai-agency-setup.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.2,"npm, npm, npm"
scripts/agi_integration_framework.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,6.1,"sys, urllib, tempfile, tarfile, json"
scripts/polyglot-integration-setup.sh.backup,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.74,"npm, npm"
scripts/mcp_server_health.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,5.76,"sys, typing, json, pathlib, aiohttp"
scripts/setup-postgresql.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.74,npm
scripts/polyglot-integration-setup.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.74,"npm, npm"
scripts/setup-neo4j.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.1,
scripts/install-vendor-tools.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,9.32,"npm, npm, npm"
scripts/setup-event-driven-architecture.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.2,curl
scripts/polyglot-tool-integration.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.24,git
scripts/streamlined-fea-analysis.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.52,
scripts/comprehensive-ai-agency-setup.sh.backup,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.2,"npm, npm, npm"
scripts/load-env.sh,shell_scripts,low,npm scripts,migrate_to_vendor_task_runners,0.37,
scripts/comprehensive-tool-integration.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.76,"curl, npm"
scripts/complete_pixi_rebuild.py.backup,python_utilities,critical,click,migrate_to_cli_frameworks,7.54,"sys, json, subprocess, pathlib, datetime"
scripts/markov-chain-analysis.py,python_utilities,high,click,migrate_to_cli_frameworks,5.06,"typing, json, pathlib, numpy, logging"
scripts/finite-element-gap-analysis.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.32,"node, git, git, docker"
